id,robot_id,timestamp,pos_x,pos_y,speed,battery_level,orientation,distance_traveled,active_task,status
1,Atlas-1,2026-06-06 14:30:00,15.2,20.0,1.55,74.1,0.7853,838.1,Pick @ Bay (34, 14),moving
2,Atlas-1,2026-06-06 14:30:01,16.3,20.7,1.58,73.9,0.7853,839.4,Pick @ Bay (34, 14),moving
3,Atlas-1,2026-06-06 14:30:02,17.4,21.4,1.56,73.6,0.7853,840.9,Pick @ Bay (34, 14),moving
4,Atlas-1,2026-06-06 14:30:03,18.3,22.1,1.54,72.4,0.7853,842.6,Pick @ Bay (34, 14),moving
5,Atlas-2,2026-06-06 14:30:00,3.1,8.6,0.40,20.1,3.1415,914.0,Charging Dock (2, 8),moving
6,Atlas-2,2026-06-06 14:30:02,2.0,8.0,0.00,19.5,0.0000,915.2,Charging Dock (2, 8),charging
7,Atlas-2,2026-06-06 14:30:04,2.0,8.0,0.00,18.9,0.0000,915.2,Charging Dock (2, 8),charging
8,Titan-1,2026-06-06 14:30:00,24.0,28.0,1.18,65.0,1.5707,621.0,Drop @ Station (24, 34),moving
9,Titan-1,2026-06-06 14:30:02,25.4,29.2,1.20,64.6,1.5707,622.5,Drop @ Station (24, 34),moving
10,Titan-1,2026-06-06 14:30:04,26.7,30.4,1.19,64.1,1.5707,623.9,Drop @ Station (24, 34),moving
11,Titan-2,2026-06-06 14:30:00,12.0,12.0,0.00,55.3,2.3561,701.4,Pick @ Bay (34, 22),estopped
12,Swift-1,2026-06-06 14:30:00,27.9,5.1,2.18,43.0,-0.7853,1177.9,Drop @ Station (32, 34),moving
13,Swift-1,2026-06-06 14:30:02,30.1,6.5,2.20,41.8,-0.7853,1180.7,Drop @ Station (32, 34),moving
